word,happiness_average,happiness_standard_deviation
laughter,8.5,0.9313
happiness,8.44,0.9723
love,8.42,1.1082
happy,8.3,0.9949
laughed,8.26,1.1572
laugh,8.22,1.3746
laughing,8.2,1.1066
excellent,8.18,1.1008
laughs,8.18,1.1551
joy,8.16,1.0568
